Name,SYMBOL,NAME OF COMPANY, SERIES
CUBEXTUB.NS,CUBEXTUB,Cubex Tubings Limited,BE
CUMMINSIND.NS,CUMMINSIND,Cummins India Limited,EQ
CUPID.NS,CUPID,Cupid Limited,EQ
CYBERTECH.NS,CYBERTECH,Cybertech Systems And Software Limited,EQ
CYIENT.NS,CYIENT,Cyient Limited,EQ
DAAWAT.NS,DAAWAT,LT Foods Limited,EQ
DABUR.NS,DABUR,Dabur India Limited,EQ
DALBHARAT.NS,DALBHARAT,Dalmia Bharat Limited,EQ
DALMIASUG.NS,DALMIASUG,Dalmia Bharat Sugar and Industries Limited,EQ
DAMODARIND.NS,DAMODARIND,Damodar Industries Limited,EQ
DATAMATICS.NS,DATAMATICS,Datamatics Global Services Limited,EQ
DBCORP.NS,DBCORP,D.B.Corp Limited,EQ
DBL.NS,DBL,Dilip Buildcon Limited,EQ
DBREALTY.NS,DBREALTY,D B Realty Limited,EQ
DBSTOCKBRO.NS,DBSTOCKBRO,DB (International) Stock Brokers Limited,EQ
DCAL.NS,DCAL,Dishman Carbogen Amcis Limited,EQ
DCBBANK.NS,DCBBANK,DCB Bank Limited,EQ
DCM.NS,DCM,DCM  Limited,EQ
DCMFINSERV.NS,DCMFINSERV,DCM Financial Services Limited,BE
DCMNVL.NS,DCMNVL,DCM Nouvelle Limited,EQ
DCMSHRIRAM.NS,DCMSHRIRAM,DCM Shriram Limited,EQ
DCW.NS,DCW,DCW Limited,EQ
DECCANCE.NS,DECCANCE,Deccan Cements Limited,EQ
DEEPAKFERT.NS,DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited,EQ
DEEPAKNTR.NS,DEEPAKNTR,Deepak Nitrite Limited,EQ
DEEPIND.NS,DEEPIND,Deep Industries Limited,EQ
DELTACORP.NS,DELTACORP,Delta Corp Limited,EQ
DELTAMAGNT.NS,DELTAMAGNT,Delta Manufacturing Limited,BE
DEN.NS,DEN,Den Networks Limited,EQ
DENORA.NS,DENORA,De Nora India Limited,EQ
DFMFOODS.NS,DFMFOODS,DFM Foods Limited,EQ
DGCONTENT.NS,DGCONTENT,Digicontent Limited,EQ
DHAMPURSUG.NS,DHAMPURSUG,Dhampur Sugar Mills Limited,EQ
DHANBANK.NS,DHANBANK,Dhanlaxmi Bank Limited,EQ
DHANUKA.NS,DHANUKA,Dhanuka Agritech Limited,EQ
DHARSUGAR.NS,DHARSUGAR,Dharani Sugars & Chemicals Limited,BE
DHFL.NS,DHFL,Dewan Housing Finance Corporation Limited,EQ
DHUNINV.NS,DHUNINV,Dhunseri Investments Limited,EQ
DIAMONDYD.NS,DIAMONDYD,Prataap Snacks Limited,EQ
DIAPOWER.NS,DIAPOWER,Diamond Power Infra Ltd,BZ
DICIND.NS,DICIND,DIC India Limited,EQ
DIGISPICE.NS,DIGISPICE,DiGiSPICE Technologies Limited,EQ
DIGJAMLTD.NS,DIGJAMLTD,Digjam Limited,BZ
DISHTV.NS,DISHTV,Dish TV India Limited,EQ
DIVISLAB.NS,DIVISLAB,Divi's Laboratories Limited,EQ
DIXON.NS,DIXON,Dixon Technologies (India) Limited,EQ
DLF.NS,DLF,DLF Limited,EQ
DLINKINDIA.NS,DLINKINDIA,D-Link (India) Limited,EQ
DMART.NS,DMART,Avenue Supermarts Limited,BE
DNAMEDIA.NS,DNAMEDIA,Diligent Media Corporation Limited,BE
